,Happiness Rank,Country,Happiness Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Year
0,1,Switzerland,7.5870000000000015,1.39651,1.34951,0.94143,0.66557,0.29678000000000004,0.41978,2015
1,2,Iceland,7.561,1.30232,1.40223,0.94784,0.6287699999999999,0.4363,0.14145,2015
2,3,Denmark,7.527,1.32548,1.36058,0.87464,0.6493800000000001,0.34139,0.48357,2015
3,4,Norway,7.522,1.459,1.33095,0.88521,0.66973,0.34699,0.36503,2015
4,5,Canada,7.427,1.32629,1.32261,0.90563,0.63297,0.45811,0.32957,2015
5,6,Finland,7.4060000000000015,1.29025,1.31826,0.8891100000000001,0.64169,0.23351,0.41372,2015
6,7,Netherlands,7.377999999999999,1.32944,1.28017,0.89284,0.6157600000000001,0.4761,0.31814000000000003,2015
7,8,Sweden,7.364,1.33171,1.2890700000000002,0.91087,0.6598,0.36262,0.43844,2015
8,9,New Zealand,7.286,1.2501799999999998,1.31967,0.90837,0.6393800000000001,0.47501,0.42922,2015
9,10,Australia,7.284,1.33358,1.30923,0.93156,0.6512399999999999,0.43562,0.35637,2015
10,11,Israel,7.278,1.2285700000000002,1.22393,0.91387,0.41319,0.33172,0.07785,2015
11,12,Costa Rica,7.226,0.95578,1.23788,0.8602700000000001,0.63376,0.25497,0.10583,2015
12,13,Austria,7.2,1.33723,1.29704,0.8904200000000001,0.62433,0.33088,0.18676,2015
13,14,Mexico,7.187,1.02054,0.91451,0.8144399999999999,0.48181,0.14074,0.21312,2015
14,15,United States,7.119,1.39451,1.24711,0.86179,0.54604,0.40105,0.1589,2015
15,16,Brazil,6.983,0.98124,1.23287,0.69702,0.49049,0.14574,0.17521,2015
16,17,Luxembourg,6.9460000000000015,1.56391,1.21963,0.91894,0.61583,0.28034000000000003,0.37798,2015
17,18,Ireland,6.94,1.33596,1.36948,0.89533,0.6177699999999999,0.45901,0.28703,2015
18,19,Belgium,6.937,1.30782,1.28566,0.8966700000000001,0.5845,0.2225,0.2254,2015
19,20,United Arab Emirates,6.901,1.42727,1.12575,0.80925,0.64157,0.26428,0.38583,2015
20,21,United Kingdom,6.867000000000001,1.26637,1.28548,0.90943,0.59625,0.51912,0.32067,2015
21,22,Oman,6.853,1.36011,1.08182,0.76276,0.63274,0.21542,0.32524000000000003,2015
22,23,Venezuela,6.81,1.04424,1.25596,0.7205199999999999,0.42908,0.05841,0.11069,2015
23,24,Singapore,6.797999999999999,1.52186,1.02,1.02525,0.54252,0.31105,0.4921,2015
24,25,Panama,6.7860000000000005,1.06353,1.1985,0.79661,0.5421,0.24434,0.0927,2015
25,26,Germany,6.75,1.32792,1.29937,0.89186,0.6147699999999999,0.28214,0.21843,2015
26,27,Chile,6.67,1.10715,1.12447,0.85857,0.44132,0.33363000000000004,0.12869,2015
27,28,Qatar,6.6110000000000015,1.69042,1.0786,0.79733,0.6404,0.32573,0.52208,2015
28,29,France,6.575,1.27778,1.2603799999999998,0.94579,0.55011,0.12332,0.20646,2015
29,30,Argentina,6.574,1.05351,1.24823,0.78723,0.44974,0.11451,0.08484,2015
30,31,Czech Republic,6.505,1.17898,1.20643,0.84483,0.46364,0.10686,0.02652,2015
31,32,Uruguay,6.485,1.06166,1.2089,0.8116,0.6036199999999999,0.2324,0.24558,2015
32,33,Colombia,6.477,0.91861,1.2401799999999998,0.69077,0.53466,0.18401,0.0512,2015
33,34,Thailand,6.455,0.9669,1.26504,0.7385,0.5566399999999999,0.5763,0.03187,2015
34,35,Saudi Arabia,6.4110000000000005,1.39541,1.0839299999999998,0.72025,0.31048000000000003,0.13706,0.32524000000000003,2015
